,Season,Year,Major,Course,Section,Start,End,Building,Room_Number
202,FALL,2024,ENGR,2050,,2024-12-19 08:00:00,2024-12-19 11:00:00,DCC,318
203,FALL,2024,ENGR,2050,,2024-12-19 08:00:00,2024-12-19 11:00:00,DCC,324
204,FALL,2024,ENGR,2090,1,2024-12-18 11:30:00,2024-12-18 14:30:00,LOW,4050
205,FALL,2024,ENGR,2090,2,2024-12-18 15:00:00,2024-12-18 18:00:00,SAGE,3303
206,FALL,2024,ENGR,2090,3,2024-12-18 18:30:00,2024-12-18 21:30:00,DCC,330
207,FALL,2024,ENGR,2300,1,2024-12-19 08:00:00,2024-12-19 11:00:00,DCC,330
208,FALL,2024,ENGR,2300,2,2024-12-19 08:00:00,2024-12-19 11:00:00,DCC,330
209,FALL,2024,ENGR,2300,1,2024-12-19 08:00:00,2024-12-19 11:00:00,DCC,337
210,FALL,2024,ENGR,2300,2,2024-12-19 08:00:00,2024-12-19 11:00:00,DCC,337
211,FALL,2024,ENGR,2530,,2024-12-13 08:00:00,2024-12-13 11:00:00,WEST,220
212,FALL,2024,ENGR,2600,,2024-12-17 11:30:00,2024-12-17 14:30:00,DCC,308
213,FALL,2024,ENGR,2710,1,2024-12-18 11:30:00,2024-12-18 14:30:00,LOW,3045
214,FALL,2024,ENGR,4710,1,2024-12-13 11:30:00,2024-12-13 14:30:00,JEC,3232
215,FALL,2024,ENGR,4710,2,2024-12-13 11:30:00,2024-12-13 14:30:00,JEC,3232
216,FALL,2024,ENGR,4961,1,2024-12-19 08:00:00,2024-12-19 11:00:00,ACADEMY,AUD
217,FALL,2024,ENGR,6961,1,2024-12-19 08:00:00,2024-12-19 11:00:00,ACADEMY,AUD
218,FALL,2024,ENVE,4220,1,2024-12-19 18:30:00,2024-12-19 21:30:00,JEC,4309
219,FALL,2024,ENVE,4240,1,2024-12-16 11:30:00,2024-12-16 14:30:00,MATLS,136
220,FALL,2024,ENVE,4330,1,2024-12-16 15:00:00,2024-12-16 18:00:00,PITTS,5114
221,FALL,2024,ENVE,4350,1,2024-12-17 11:30:00,2024-12-17 14:30:00,JEC,4309
222,FALL,2024,ENVE,4370,1,2024-12-16 18:30:00,2024-12-16 21:30:00,DCC,337
223,FALL,2024,ENVE,4370,2,2024-12-16 18:30:00,2024-12-16 21:30:00,DCC,337
224,FALL,2024,ENVE,4370,3,2024-12-16 18:30:00,2024-12-16 21:30:00,DCC,337
225,FALL,2024,ENVE,4710,1,2024-12-18 08:00:00,2024-12-18 11:00:00,TROY,2012
226,FALL,2024,ENVE,6710,1,2024-12-18 08:00:00,2024-12-18 11:00:00,TROY,2012
227,FALL,2024,ERTH,1100,1,2024-12-13 18:30:00,2024-12-13 21:30:00,SAGE,3303
228,FALL,2024,ERTH,1100,2,2024-12-13 18:30:00,2024-12-13 21:30:00,SAGE,3303
229,FALL,2024,ERTH,2120,1,2024-12-17 18:30:00,2024-12-17 21:30:00,LOW,3039
230,FALL,2024,ERTH,2330,1,2024-12-16 18:30:00,2024-12-16 21:30:00,JEC,3207
231,FALL,2024,ERTH,4710,1,2024-12-18 08:00:00,2024-12-18 11:00:00,TROY,2012
232,FALL,2024,ERTH,6710,1,2024-12-18 08:00:00,2024-12-18 11:00:00,TROY,2012
233,FALL,2024,GSAS,1600,2,2024-12-13 15:00:00,2024-12-13 18:00:00,PITTS,4114
234,FALL,2024,GSAS,2520,1,2024-12-16 15:00:00,2024-12-16 18:00:00,LOW,3039
235,FALL,2024,ISCI,4961,1,2024-12-19 08:00:00,2024-12-19 11:00:00,ACADEMY,AUD
236,FALL,2024,ISCI,6961,1,2024-12-19 08:00:00,2024-12-19 11:00:00,ACADEMY,AUD
237,FALL,2024,ISYE,4210,1,2024-12-13 11:30:00,2024-12-13 14:30:00,JEC,3210
238,FALL,2024,ISYE,4270,1,2024-12-19 08:00:00,2024-12-19 11:00:00,JEC,3232
239,FALL,2024,ISYE,4270,2,2024-12-19 11:30:00,2024-12-19 14:30:00,JEC,3232
240,FALL,2024,ISYE,4270,3,2024-12-19 15:00:00,2024-12-19 18:00:00,JEC,3232
241,FALL,2024,ISYE,4270,4,2024-12-19 18:30:00,2024-12-19 21:30:00,JEC,3232
242,FALL,2024,ISYE,4600,1,2024-12-19 11:30:00,2024-12-19 14:30:00,TROY,2012
243,FALL,2024,ISYE,6600,1,2024-12-13 11:30:00,2024-12-13 14:30:00,JEC,3210
244,FALL,2024,ISYE,6610,1,2024-12-19 11:30:00,2024-12-19 14:30:00,TROY,2012
