CIVIL ENGINEERING,CIVL 4640,1,LOW 3116,Friday,5-May,11:30AM-2:30PM
CIVIL ENGINEERING,CIVL 6250,1,LOW 3116,Friday,5-May,11:30AM-2:30PM
CIVIL ENGINEERING,CIVL 6320,1,LOW 3045,Friday,5-May,11:30AM-2:30PM
CIVIL ENGINEERING,CIVL 6520,1,TROY 2015,Tuesday,2-May,3:00PM-6:00PM
CIVIL ENGINEERING,CIVL 6530,1,LOW 3045,Thursday,4-May,11:30AM-2:30PM
COMMUNICATION COMM,4540 (ALL,SECTIONS),SAGE 3101,Wednesday,3-May,3:00PM-6:00PM
COMPUTER SCIENCE,CSCI 1100,(ALL SECTIONS),DCC 308,Monday,1-May,11:30AM-2:30PM
COMPUTER SCIENCE,CSCI 1200,(ALL SECTIONS),DCC 308,Thursday,4-May,3:00PM-6:00PM
COMPUTER SCIENCE,CSCI 1200,(ALL SECTIONS),DCC 318,Thursday,4-May,3:00PM-6:00PM
COMPUTER SCIENCE,CSCI 1200,(ALL SECTIONS),DCC 324,Thursday,4-May,3:00PM-6:00PM
COMPUTER SCIENCE,CSCI 2200,(ALL SECTIONS),DCC 308,Tuesday,2-May,3:00PM-6:00PM
COMPUTER SCIENCE,CSCI 2300,(ALL SECTIONS),DCC 318,Tuesday,2-May,11:30AM-2:30PM
COMPUTER SCIENCE,CSCI 2300,(ALL SECTIONS),DCC 324,Tuesday,2-May,11:30AM-2:30PM
COMPUTER SCIENCE,CSCI 2500,(ALL SECTIONS),DCC 308,Thursday,4-May,11:30AM-2:30PM
COMPUTER SCIENCE,CSCI 2500,(ALL SECTIONS),DCC 324,Thursday,4-May,11:30AM-2:30PM
COMPUTER SCIENCE,CSCI 2600,1,DCC 308,Monday,1-May,6:30PM-9:30PM
COMPUTER SCIENCE,CSCI 4020,1,DCC 324,Wednesday,3-May,3:00PM-6:00PM
COMPUTER SCIENCE,CSCI 4210,1,DCC 318,Wednesday,3-May,11:30AM-2:30PM
COMPUTER SCIENCE,CSCI 4260,1,LOW 4050,Wednesday,3-May,6:30PM-9:30PM
COMPUTER SCIENCE,CSCI 4380,1,DCC 324,Monday,1-May,6:30PM-9:30PM
COMPUTER SCIENCE,CSCI 4440,(ALL SECTIONS),LOW 4050,Friday,5-May,11:30AM-2:30PM
COMPUTER SCIENCE,CSCI 4800,1,DCC 330,Wednesday,3-May,11:30AM-2:30PM
COMPUTER SCIENCE,CSCI 6840,1,LOW 4040,Tuesday,2-May,11:30AM-2:30PM
ECONOMICS,ECON 2010,3,RICKETTS 203,Tuesday,2-May,11:30AM-2:30PM
ECONOMICS,ECON 2020,2,DCC 337,Thursday,4-May,3:00PM-6:00PM
ECONOMICS,ECON 4110,2,LOW 3039,Wednesday,3-May,11:30AM-2:30PM
ECONOMICS,ECON 4340,1,LOW 3045,Monday,1-May,11:30AM-2:30PM
ECONOMICS,ECON 4360,1,SAGE 4112,Wednesday,3-May,11:30AM-2:30PM
