course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section
DOCUMENTARY FILM,LEC,4,MTRF,1:30,3:35PM,Gordon,19,0,19,COMM,2020-07-13,2020-08-21,SUMMER 2020,15709,2440,01
INTERNAT ECO AND GLOBALIZATION,LEC,4,MTRF,1:30,3:35PM,Mahmoudi,40,0,40,ECON,2020-07-13,2020-08-21,SUMMER 2020,15731,4190,01
ENVIRONMENTAL ECONOMICS,STU,4,MTRF,8:00,10:05AM,Parrales,40,0,40,ECON,2020-07-13,2020-08-21,SUMMER 2020,15515,4230,02
ECONOMETRICS,LEC,4,MTRF,10:30,12:35PM,Peng,40,0,40,ECON,2020-07-13,2020-08-21,SUMMER 2020,15518,4570,01
THERMAL AND FLUIDS ENGR I,LEC,4,MTRF,8:00,10:05AM,Staff,50,0,50,ENGR,2020-07-13,2020-08-21,SUMMER 2020,15306,2250,02
PROFESSIONAL DEVEL III,LEC,1,MR,1:30,3:35PM,Schierenbe,45,0,45,ENGR,2020-07-13,2020-08-21,SUMMER 2020,15417,4010,02
IMMERSIVE CHINESE W/ AI,LEC,4,MTRF,1:30,3:35PM,Zhou,19,0,19,LANG,2020-07-13,2020-08-21,SUMMER 2020,15459,4960,01
DATA ANALYTICS RESEARCH,LEC,4,MTR,1:30,4:50PM,Bennett,30,0,30,MATP,2020-07-13,2020-08-21,SUMMER 2020,15751,4910,01
ENTERPRISE IT INTEGRATION,LEC,4,MR,5:00,8:20PM,Demertzogl,15,0,15,MGMT,2020-07-13,2020-08-21,SUMMER 2020,15675,4130,01
ENTERPRISE IT INTEGRATION,LEC,3,MR,5:00,8:20PM,Demertzogl,15,0,15,MGMT,2020-07-13,2020-08-21,SUMMER 2020,15676,6090,01
"STRATEGY, TECH & COMPETITION I",LEC,3,MW,1:00,4:20PM,Kumar,20,0,20,MGMT,2020-07-13,2020-08-21,SUMMER 2020,15380,7030,02
PHILOSOPHY OF SCIENCE,LEC,4,MTR,10:00,12:50PM,Milanese,25,0,25,PHIL,2020-07-13,2020-08-21,SUMMER 2020,15516,4130,01
PHILOSOPHY OF SCIENCE,LEC,4,MTR,1:00,3:50PM,Milanese,25,0,25,PHIL,2020-07-13,2020-08-21,SUMMER 2020,15517,4130,02
PHYSICS II,LEC,4,MTRF,2:00,3:50PM,Kim,48,0,48,PHYS,2020-07-13,2020-08-21,SUMMER 2020,15080,1200,01
MATHEMATICAL PHYS FOR PHYSICIS,LEC,2,TF,1:30,3:35PM,Georg,40,0,40,PHYS,2020-07-13,2020-08-21,SUMMER 2020,15444,2963,01
ASTROPHYSICS,LEC,4,MTRF,11:45,1:50PM,Ciolek,30,0,30,PHYS,2020-07-13,2020-08-21,SUMMER 2020,15282,4960,01
INTRO TO COGNITIVE SCIENCE,LEC,4,MTRF,10:30,12:35PM,Weissman,25,0,25,PSYC,2020-07-13,2020-08-21,SUMMER 2020,15690,2120,01
APPLIED BEHAVIOR ANALYSIS,LEC,4,MTRF,8:00,10:05AM,Kalsher,29,0,29,PSYC,2020-07-13,2020-08-21,SUMMER 2020,15733,4962,01
PD2 TECH ISSUES & SOLUTIONS,LEC,2,MR,10:30,12:35PM,Hirsa,30,0,30,STSS,2020-07-13,2020-08-21,SUMMER 2020,15704,4100,03
PD2 TECH ISSUES & SOLUTIONS,LEC,2,MR,1:30,3:35PM,Hirsa,30,0,30,STSS,2020-07-13,2020-08-21,SUMMER 2020,15706,4100,04
