course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section
INTRODUCTION TO ALGORITHMS,LAB,4,W,10:30,12:35PM,Staff,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15680,2300,01
INTRODUCTION TO ALGORITHMS,TES,4,R,4:00,6:05PM,Staff,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15680,2300,01
INTRODUCTION TO ALGORITHMS,LEC,4,TF,10:30,12:35PM,Goldschmid/Hulbert,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15681,2300,02
INTRODUCTION TO ALGORITHMS,LAB,4,W,10:30,12:35PM,Staff,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15681,2300,02
INTRODUCTION TO ALGORITHMS,TES,4,R,4:00,6:05PM,Staff,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15681,2300,02
PRINCIPLES OF SOFTWARE,LEC,4,MR,1:30,3:35PM,Kuzmin/Hulbert,100,0,100,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15431,2600,01
PRINCIPLES OF SOFTWARE,TES,4,R,6:30,8:30PM,Staff,100,0,100,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15431,2600,01
RCOS,STU,1-4,TF,1:30,3:35PM,Turner/Goldschmid,90,0,90,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15677,2960,01
ELECTRIC CIRCUITS,LEC,4,TF,8:00,10:05AM,Sawyer,32,0,32,ECSE,2020-05-26,2020-08-21,SUMMER 2020,15651,2010,01
INTRO ENGR DESIGN,LEC,4,MR,10:30,12:35PM,Staff,25,0,25,ENGR,2020-05-26,2020-08-21,SUMMER 2020,14862,2050,01
INTRO ENGR DESIGN,LEC,4,TF,10:30,12:35PM,Staff,25,0,25,ENGR,2020-05-26,2020-08-21,SUMMER 2020,15247,2050,02
INTRO ENGR DESIGN,LEC,4,TF,8:00,10:05AM,Staff,25,0,25,ENGR,2020-05-26,2020-08-21,SUMMER 2020,15316,2050,03
INTRO ENGR DESIGN,LEC,4,MR,10:30,12:35PM,Staff,25,0,25,ENGR,2020-05-26,2020-08-21,SUMMER 2020,15418,2050,04
INTRO ENGR DESIGN,LEC,4,MR,8:00,10:05AM,Staff,25,0,25,ENGR,2020-05-26,2020-08-21,SUMMER 2020,15471,2050,05
APPL HYDROLOGY & HYDRAULICS,LEC,4,TF,8:00,10:05AM,Letchford,16,0,16,ENVE,2020-05-26,2020-08-21,SUMMER 2020,15307,4310,01
APPL HYDROLOGY & HYDRAULICS,LAB,4,M,3:45,5:35PM,Letchford,16,0,16,ENVE,2020-05-26,2020-08-21,SUMMER 2020,15307,4310,01
APPL HYDROLOGY & HYDRAULICS,LEC,4,TF,8:00,10:05AM,Letchford,16,0,16,ENVE,2020-05-26,2020-08-21,SUMMER 2020,15326,4310,02
ENVIRONMENTAL MEASUREMENTS,STU,4,T,1:30,5:50PM,Cadieux,12,0,12,ERTH,2020-05-26,2020-08-21,SUMMER 2020,15488,4190,01
ART FOR INTERACTIVE MEDIA,STU,4,MR,1:30,3:35PM,Nideffer,5,0,5,GSAS,2020-05-26,2020-08-21,SUMMER 2020,15667,1040,01
INTRO TO GAME PROGRAMMING,LEC,4,MR,1:30,3:35PM,Ameres,19,0,19,GSAS,2020-05-26,2020-08-21,SUMMER 2020,15696,2540,01
STATISTICAL ANALYSIS,LEC,4,TF,1:30,3:35PM,Aboul-Seou,50,0,50,ISYE,2020-05-26,2020-08-21,SUMMER 2020,15304,4140,01
ENGR PROJ MANAGEMENT,LEC,3,MR,3:45,5:50PM,Foley,50,0,50,ISYE,2020-05-26,2020-08-21,SUMMER 2020,15366,4240,01
OPERATIONS RESEARCH METHOD,LEC,4,MR,8:00,10:20AM,Foley,50,0,50,ISYE,2020-05-26,2020-08-21,SUMMER 2020,15305,4600,01
SCIENCE AND FICTION,LEC,4,TF,1:30,3:35PM,Deery,19,0,19,LITR,2020-05-26,2020-08-21,SUMMER 2020,15482,4150,01
INVENTOR'S STUDIO 1,STU,4,MR,8:00,10:05AM,Ghosh,24,0,24,MANE,2020-05-26,2020-08-21,SUMMER 2020,15665,2220,01
INVENTOR'S STUDIO 1,STU,4,MR,10:30,12:35PM,Ghosh,24,0,24,MANE,2020-05-26,2020-08-21,SUMMER 2020,15666,2220,02
FLUID MECHANICS,LEC,3,MR,8:00,10:05AM,Woodcock,75,0,75,MANE,2020-05-26,2020-08-21,SUMMER 2020,15408,2720,01
FLUID MECHANICS,LEC,3,MR,10:30,12:35PM,Borca-Tasc,75,0,75,MANE,2020-05-26,2020-08-21,SUMMER 2020,15664,2720,02
ELEMENTS OF MECH DESIGN,LEC,4,TF,8:00,10:05AM,Young/Shahsavari,75,0,75,MANE,2020-05-26,2020-08-21,SUMMER 2020,15309,4030,01
ELEMENTS OF MECH DESIGN,LEC,4,TF,10:30,12:35PM,Young/Shahsavari,75,0,75,MANE,2020-05-26,2020-08-21,SUMMER 2020,15441,4030,02
MODELING AND CONTRL OF DYN SYS,LEC,4,TF,1:30,3:35PM,Staff,10,0,10,MANE,2020-05-26,2020-08-21,SUMMER 2020,14982,4050,01
AEROSPACE STRUC & MATERIALS,LEC,4,MR,8:00,10:05AM,Shahsavari/Young,80,0,80,MANE,2020-05-26,2020-08-21,SUMMER 2020,15296,4060,01
AEROSPACE STRUC & MATERIALS,LEC,4,MR,10:30,12:35PM,Shahsavari/Young,40,0,40,MANE,2020-05-26,2020-08-21,SUMMER 2020,15698,4060,02
AERODYNAMICS I,LEC,4,TF,8:00,10:05AM,Staff,40,0,40,MANE,2020-05-26,2020-08-21,SUMMER 2020,15295,4070,01
AERODYNAMICS I,LEC,4,TF,10:30,12:35PM,Staff,40,0,40,MANE,2020-05-26,2020-08-21,SUMMER 2020,15701,4070,02
INTRO TO FINITE ELEMENTS,STU,3,MR,1:30,3:35PM,Panneersel,50,0,50,MANE,2020-05-26,2020-08-21,SUMMER 2020,15409,4240,01
INTRO TO FINITE ELEMENTS,LEC,3,TF,1:30,3:35PM,Panneersel,50,0,50,MANE,2020-05-26,2020-08-21,SUMMER 2020,15699,4240,02
FOUNDATIONS OF ANALYSIS,LEC,4,TF,10:30,12:35PM,Kiehl/Stevenson,50,0,50,MATH,2020-05-26,2020-08-21,SUMMER 2020,15433,4090,01
LINEAR ALGEBRA,LEC,4,MR,10:30,12:35PM,Kovacic,60,0,60,MATH,2020-05-26,2020-08-21,SUMMER 2020,15685,4100,01
